Carriolas,Bueno,Media,Regular,MXN ,Seminuevo sin detalle,Funcionamiento,7 días,General,N=Normal,Ob Modelo,Ob Tipo ,Ob Incluye travel system ,Ob Capacidad de la carriola,Ob Es reclinable,Ob Es 3 en 1,Ob Cantidad de posiciones de reclinado,Almacén General,Etiquetas ,Descripción,Información Adicional
50%,Excelente,Alta,Buena,MXN,Seminuevo sin detalle,Funcionamiento,7,General,S = Sencilla,Con portabebé,Bastón,No Travel System,Sencilla,Reclinable,3 en 1,1 Posición,Almacén General,Con portabebé,6,13
60%,Bueno,Media,Regular,USD,Seminuevo con detalle,,,Prinsel,N=Normal,Sin portabebé,Ligera,Travel System ,Doble,No Reclinable,No 3en1,2 Posiciones,Consignación,Sin portabebé,9,14
15%,Regular,Baja,Mala,GUAT,Nuevo,,,Chicco,A= Alto,Doble,Tradicional,,,,,3 Posiciones,,Doble,11,15
50%,,,,MXN ,,,,Infanti,P= Premium,Portabebé y Base,Para correr ,,,,,,,Portabebé y Base,12,16
,,,,,,,,Evenflo,,Sin capota,Gemelar Horizontal,,,,,,,,,
,,,,,,,,Graco,,,Gemelar Vertical,,,,,,,,,
,,,,,,,,Brevi,,,Doble Bebe + Niño,,,,,,,,,
,,,,,,,,The first years,,,Nuevo tipo ,,,,,,,,,
,,,,,,,,Britax,,,Base para portabebe,,,,,,,,,
,,,,,,,,ABC Design,,,,,,,,,,,,
,,,,,,,,Stokke,,,,,,,,,,,,
,,,,,,,,Maxicosi,,,,,,,,,,,,
,,,,,,,,Mama Mia,,,,,,,,,,,,
,,,,,,,,PegPérego,,,,,,,,,,,,
,,,,,,,,Baby Trend,,,,,,,,,,,,
,,,,,,,,Pock It,,,,,,,,,,,,
,,,,,,,,Phill&Teds,,,,,,,,,,,,
,,,,,,,,Quinny,,,,,,,,,,,,
,,,,,,,,Safety 1st,,,,,,,,,,,,
,,,,,,,,UppaBaby,,,,,,,,,,,,
,,,,,,,,Baby Jogger,,,,,,,,,,,,
,,,,,,,,CityMini,,,,,,,,,,,,
,,,,,,,,Orbit Baby,,,,,,,,,,,,
,,,,,,,,Mima,,,,,,,,,,,,
