id,name,renown,is_active,created_at,updated_at,subcategory_id
1,General,Normal,t,,,3
2,Prinsel,Normal,t,,,3
3,Chicco,Alta,t,,,3
4,Infanti,Normal,t,,,3
5,Evenflo,Normal,t,,,3
6,Graco,Alta,t,,,3
7,Brevi,Alta,t,,,3
8,The first years,Normal,t,,,3
9,Britax,Alta,t,,,3
10,ABC Design,Premium,t,,,3
11,Stokke,Premium,t,,,3
12,Maxicosi,Premium,t,,,3
13,Mama Mia,Normal,t,,,3
14,PegPérego,Alta,t,,,3
15,Baby Trend,Normal,t,,,3
16,Pock It,Normal,t,,,3
17,Phill&Teds,Alta,t,,,3
18,Quinny,Alta,t,,,3
19,Safety 1st,Normal,t,,,3
20,UppaBaby,Premium,t,,,3
21,Baby Jogger,Alta,t,,,3
22,CityMini,Alta,t,,,3
23,Orbit Baby,Alta,t,,,3
24,Mima,Premium,t,,,3
25,Cybex,Premium,t,,,3
26,Maclaren,Alta,t,,,3
27,Sorel,Normal,t,,,3
28,Silver Cross,Premium,t,,,3
29,Inglesina,Alta,t,,,3
30,Nuna,Premium,t,,,3
31,Bebeconfort,Alta,t,,,3
32,Bugaboo,Premium,t,,,3
33,D Bebé,Normal,t,,,3
34,Diono,Alta,t,,,3
35,Yoyo,Premium,t,,,3
36,Joie,Alta,t,,,3
37,City Mini,Alta,t,,,3
38,Phil&Teds,Alta,t,,,3
39,Donna,Alta,t,,,3
40,BabyZenl,Alta,t,,,3
41,Thule,Premium,t,,,3
42,Joovy,Alta,t,,,3
43,Buggy pod,Normal,t,,,3
44,Dogona,Normal,t,,,3
45,Hot Mom,Normal,t,,,3
46,Mc Laren,Alta,t,,,3
47,zIPPY,Normal,t,,,3
48,kolcraft,Normal,t,,,3
49,GB,Normal,t,,,3
50,BabyJogger,Alta,t,,,3
51,Joolz,Alta,t,,,3
52,Kelly,Normal,t,,,3
53,General,Normal,t,,,10
54,Mi Cuna,Normal,t,,,10
55,La Cuna Encantada,Normal,t,,,10
