id,subcategory_id,name,display_name,type,order_index,options,created_at,updated_at,mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,modelo,Modelo,seleccion,1,"['Portabebé 0-13 kg'"""," '""Autoasientos 0-18 a 25 kg'"""," '""Autoasientos 9-18 a 30 kg'"""," '""Booster 15 a 45 kg'""",,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,tipo_asiento,Tipo de asiento,seleccion,2,"['Ajustable alturas'"""," '""No ajustable alturas'"""," '""Elevador'"""," '""Con respaldo y cinturones'"""," '""Elevador con respaldo'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,sistemas_anclaje,Sistemas de anclaje,seleccion,3,"['Sistema Latch'"""," '""Sistema Isofix'"""," '""Cinturón de Seguridad'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,cantidad_posiciones,Cantidad de posiciones,seleccion,4,"['Reclinable'"""," '""No Reclinable'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,modelo,Modelo,seleccion,1,"['Mochila Ergonómica'"""," '""Mei Thai'"""," '""Rebozo'"""," '""Fular 3m'"""," '""Fular 5m'"""," '""Bambineto'"""," '""Cangurera'""",," '""Mochila Senderismo'"""," '""Cargador niñ@ grande'""",,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,modelo,Modelo,seleccion,1,"['Con portabebé'"""," '""Sin portabebé'"""," '""Doble'"""," '""Portabebé y Base'""",,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,tipo,Tipo,seleccion,2,"['Bastón'"""," '""Ligera'"""," '""Tradicional'"""," '""Para correr'"""," '""Gemelar Horizontal'"""," '""Gemelar Vertical'"""," '""Doble Bebe + Niño'""",," '""Base para portabebe'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,incluye_travel_system,Incluye travel system,seleccion,3,"['No Travel System'"""," '""Travel System'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,capacidad_carriola,Capacidad de la carriola,seleccion,4,"['Sencilla'"""," '""Doble'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,es_reclinable,Es reclinable,seleccion,5,"['Reclinable'"""," '""No Reclinable'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
