id,subcategory_id,factor_type,factor_value,score,created_at,updated_at
1,1,estado,Excelente,5,,
2,2,estado,Excelente,5,,
3,3,estado,Excelente,5,,
4,4,estado,Excelente,5,,
5,5,estado,Excelente,5,,
6,6,estado,Excelente,5,,
7,7,estado,Excelente,5,,
8,8,estado,Excelente,5,,
9,9,estado,Excelente,5,,
10,10,estado,Excelente,5,,
11,11,estado,Excelente,5,,
12,12,estado,Excelente,5,,
13,13,estado,Excelente,5,,
14,14,estado,Excelente,5,,
15,15,estado,Excelente,5,,
16,16,estado,Excelente,5,,
17,17,estado,Excelente,5,,
18,18,estado,Excelente,5,,
19,19,estado,Excelente,5,,
20,20,estado,Excelente,5,,
21,21,estado,Excelente,5,,
22,22,estado,Excelente,5,,
23,23,estado,Excelente,5,,
24,24,estado,Excelente,5,,
25,25,estado,Excelente,5,,
26,26,estado,Excelente,5,,
27,27,estado,Excelente,5,,
28,28,estado,Excelente,5,,
29,29,estado,Excelente,5,,
30,30,estado,Excelente,5,,
31,31,estado,Excelente,5,,
32,32,estado,Excelente,5,,
33,33,estado,Excelente,5,,
34,34,estado,Excelente,5,,
35,35,estado,Excelente,5,,
36,36,estado,Excelente,10,,
37,37,estado,Excelente,10,,
38,38,estado,Excelente,10,,
39,39,estado,Excelente,10,,
40,40,estado,Excelente,10,,
41,41,estado,Excelente,10,,
42,42,estado,Excelente,10,,
43,43,estado,Excelente,10,,
44,44,estado,Excelente,10,,
45,45,estado,Excelente,10,,
46,46,estado,Excelente,5,,
47,47,estado,Excelente,5,,
48,48,estado,Excelente,5,,
49,49,estado,Excelente,5,,
50,50,estado,Excelente,5,,
51,51,estado,Excelente,5,,
52,52,estado,Excelente,5,,
53,53,estado,Excelente,5,,
54,54,estado,Excelente,5,,
55,55,estado,Excelente,5,,
56,56,estado,Excelente,5,,
57,57,estado,Excelente,5,,
58,1,estado,Bueno,0,,
59,2,estado,Bueno,0,,
60,3,estado,Bueno,0,,
61,4,estado,Bueno,0,,
62,5,estado,Bueno,0,,
63,6,estado,Bueno,0,,
64,7,estado,Bueno,0,,
65,8,estado,Bueno,0,,
66,9,estado,Bueno,0,,
67,10,estado,Bueno,0,,
68,11,estado,Bueno,0,,
69,12,estado,Bueno,0,,
70,13,estado,Bueno,0,,
71,14,estado,Bueno,0,,
72,15,estado,Bueno,0,,
73,16,estado,Bueno,0,,
74,17,estado,Bueno,0,,
75,18,estado,Bueno,0,,
76,19,estado,Bueno,0,,
77,20,estado,Bueno,0,,
