id,subcategory_id,,offer_print,name,display_name,type,order_index,options,created_at,updated_at,mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,TRUE,modelo,Modelo,seleccion,1,"['Portabebé 0-13 kg'"""," '""Autoasientos 0-18 a 25 kg'"""," '""Autoasientos 9-18 a 30 kg'"""," '""Booster 15 a 45 kg'""",,34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,TRUE,tipo_asiento,Tipo de asiento,seleccion,2,"['Ajustable alturas'"""," '""No ajustable alturas'"""," '""Elevador'"""," '""Con respaldo y cinturones'"""," '""Elevador con respaldo'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,FALSE,sistemas_anclaje,Sistemas de anclaje,seleccion,3,"['Sistema Latch'"""," '""Sistema Isofix'"""," '""Cinturón de Seguridad'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,FALSE,cantidad_posiciones,Cantidad de posiciones,seleccion,4,"['Reclinable'"""," '""No Reclinable'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,,TRUE,modelo,Modelo,seleccion,1,"['Mochila Ergonómica'"""," '""Mei Thai'"""," '""Rebozo'"""," '""Fular 3m'"""," '""Fular 5m'"""," '""Bambineto'"""," '""Cangurera'""",," '""Mochila Senderismo'"""," '""Cargador niñ@ grande'""",,34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,,TRUE,modelo,Modelo,seleccion,1,"['Con portabebé'"""," '""Sin portabebé'"""," '""Doble'"""," '""Portabebé y Base'""",,34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,,TRUE,tipo,Tipo,seleccion,2,"['Bastón'"""," '""Ligera'"""," '""Tradicional'"""," '""Para correr'"""," '""Gemelar Horizontal'"""," '""Gemelar Vertical'"""," '""Doble Bebe + Niño'""",," '""Base para portabebe'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,,FALSE,incluye_travel_system,Incluye travel system,seleccion,3,"['No Travel System'"""," '""Travel System'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,,FALSE,capacidad_carriola,Capacidad de la carriola,seleccion,4,"['Sencilla'"""," '""Doble'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,,FALSE,es_reclinable,Es reclinable,seleccion,5,"['Reclinable'"""," '""No Reclinable'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,,FALSE,es_3_en_1,Es 3 en 1,seleccion,6,"['3 en 1'"""," '""No 3en1'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,,FALSE,cantidad_posiciones_reclinado,Cantidad de posiciones de reclinado,seleccion,7,"['1 Posición'"""," '""2 Posiciones'"""," '""3 Posiciones'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
