ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición
27432,simple,HSACRP4,,Step2 Otro,1,0,visible,Sin información adicional,"Precio de comparación $9199 Otro, Step2, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,80,,,,0,9199,3995,4957.2,"A dormir > Cunas de madera, A Jugar > Juegos grandes, A dormir > Muebles de recámara","Otro, Polanco, Ver todo de a dormir",,https://entrepeques.mx/wp-content/uploads/2022/06/HSACRP4-1.jpg,,,,,,,,,0
27446,simple,HSBRIP3,,Fisher Price Base luz y sonido,1,0,visible,Sin información adicional,"Precio de comparación $3500 Base luz y sonido, Fisher Price, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,40,,,,0,3500,1350,1701,En casa > Brincolines,"Base luz y sonido, Polanco, Ver todo de en casa",,https://entrepeques.mx/wp-content/uploads/2022/06/HSBRIP3-1.png,,,,,,,,,0
27480,simple,HSSPCP15,,Chicco Portátil fijar en mesa,1,0,visible,"No Reclinable, No Plegable, Silla Desmontable, Giratoria, ","Precio de comparación $2000 Portátil fijar en mesa, Chicco, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,10,,,,0,2000,962,1069.2,En casa > Sillas para comer,"Polanco, Portátil fijar en mesa, Ver todo de en casa",,"https://entrepeques.mx/wp-content/uploads/2022/06/HSSPCP15-1.png, https://entrepeques.mx/wp-content/uploads/2022/06/HSSPCP151-1.png",,,,,,,,,0
27720,simple,HSSPCP5,,Svan Silla alta,1,1,visible,"No Reclinable, No Plegable, Charola desmontable, Niveles de altura,","Precio de comparación $5000 Silla alta, Svan, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,60,,,,0,5000,1350,2694.6,En casa > Sillas para comer,"Polanco, Silla alta, Ver todo de en casa",,"https://entrepeques.mx/wp-content/uploads/2022/05/HSSPCP5-1.jpg, https://entrepeques.mx/wp-content/uploads/2022/05/HSSPCP51-1.jpg",,,,,,,,,0
27752,simple,HSJUGP13,,Fisher Price 2 años,1,0,visible,Sin información adicional,"Precio de comparación $850 2 años, Fisher Price, Seminuevo sin detalle, , Sin notas",,,taxable,,1,2,,0,0,3,,,,0,850,,324.5,A Jugar > Juguetes,"2 años, Polanco, Ver todo de a jugar",,https://entrepeques.mx/wp-content/uploads/2022/06/HSJUGP13-1.png,,,,,,,,,0
27802,simple,HSAUTP21,,Cybex Portabebé 0-13 kg,1,0,visible,"No Reclinable, Sistema Isofix,","Precio de comparación $5000 No ajustable alturas, Portabebé 0-13 kg , Cybex, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,40,,,,0,5000,2152,2689.2,A pasear > Autoasientos,"Polanco, Portabebé 0-13 kg, Ver todo de a pasear",,"https://entrepeques.mx/wp-content/uploads/2022/06/HSAUTP21-1.png, https://entrepeques.mx/wp-content/uploads/2022/06/HSAUTP211-1.png",,,,,,,,,0
27810,simple,HSAUTP22,,Maxicosi Portabebé 0-13 kg,1,0,visible,"No Reclinable, Cinturón de Seguridad,","Precio de comparación $4800 No ajustable alturas, Portabebé 0-13 kg , Maxicosi, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,40,,,,0,4800,2079,2970,A pasear > Autoasientos,"Polanco, Portabebé 0-13 kg, Ver todo de a pasear",,"https://entrepeques.mx/wp-content/uploads/2022/06/HSAUTP22-1.png, https://entrepeques.mx/wp-content/uploads/2022/06/HSAUTP221-1.png",,,,,,,,,0
27843,simple,HSCARP30,,Stokke Sin portabebé,1,0,visible,"No 3en1, Reclinable, Sencilla, No Travel System,","Precio de comparación $25000 Tradicional, Sin portabebé, Stokke, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,80,,,,0,25000,3963,7325,A pasear > Carriolas,"Polanco, Sin Portabebé, Ver todo de a pasear",,"https://entrepeques.mx/wp-content/uploads/2022/06/HSCARP30-1.png, https://entrepeques.mx/wp-content/uploads/2022/06/HSCARP301-1.png, https://entrepeques.mx/wp-content/uploads/2022/06/HSCARP302-1.png",,,,,,,,,0
28652,simple,HSAUTP45,,Maxicosi Portabebé 0-13 kg,1,0,visible,"No Reclinable, Sistema Isofix,","Precio de comparación $4500 No ajustable alturas, Portabebé 0-13 kg , Graco, Seminuevo sin detalle, Vencido , Sin notas",,,taxable,,1,1,,0,0,60,,,,0,4500,1050,3495,A pasear > Autoasientos,"Polanco, Portabebé 0-13 kg, Ver todo de a pasear",,"https://entrepeques.mx/wp-content/uploads/2022/10/HSAUTP45-1.jpg, https://entrepeques.mx/wp-content/uploads/2022/10/HSAUTP451-1.jpg, https://entrepeques.mx/wp-content/uploads/2022/10/HSAUTP452-1.jpg",,,,,,,,,0
28874,simple,HSSPCP46,,Prince Lionheart Portátil fijar en mesa,1,1,visible,"No Reclinable, No Plegable, Charola desmontable, Fija , ","Precio de comparación $900 Portátil fijar en mesa, Prince Lionheart, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,5,,,,0,900,,495,En casa > Sillas para comer,"Polanco, Portátil fijar en mesa, Ver todo de en casa",,"https://entrepeques.mx/wp-content/uploads/2022/11/HSSPCP46.jpg, https://entrepeques.mx/wp-content/uploads/2022/11/HSSPCP461.jpg",,,,,,,,,0
