codigo_producto,subcategoria,categoria,marca,modelo,cantidad_bodega,precio_online,estado
ADAP001,Accesorios de alimentación,A comer,Pigeon,Red papillas,1,250.00,BAJO STOCK
AUTP001,Autoasientos,A pasear,Cybex,"",1,2689.20,BAJO STOCK
AUTP002,Autoasientos,A pasear,Maxicosi,"",1,2970.00,BAJO STOCK
AUTP003,Autoasientos,A pasear,Maxicosi,"",1,3495.00,BAJO STOCK
AUTP004,Autoasientos,A pasear,Cybex,"",1,2689.20,BAJO STOCK
AUTP005,Autoasientos,A pasear,Maxicosi,"",1,2970.00,BAJO STOCK
AUTP006,Autoasientos,A pasear,Maxicosi,"",1,3495.00,BAJO STOCK
AUTP007,Autoasientos,A pasear,Uppababy,"",1,3013.20,BAJO STOCK
AUTP008,Autoasientos,A pasear,Mon,"",1,2430.00,BAJO STOCK
AUTP009,Autoasientos,A pasear,Cybex,"",1,3234.60,BAJO STOCK
AUTP012,Autoasientos,A pasear,Nuna,"",1,8000.00,BAJO STOCK
AUTP013,Autoasientos,A pasear,Britax,"",1,4590.00,BAJO STOCK
AUTP014,Autoasientos,A pasear,Chicco,"",1,3834.00,BAJO STOCK
AUTP015,Autoasientos,A pasear,Joie,"",1,4590.00,BAJO STOCK
AUTP016,Autoasientos,A pasear,Chicco,"",1,3942.00,BAJO STOCK
AUTP017,Autoasientos,A pasear,Nuna,"",1,8000.00,BAJO STOCK
AUTP018,Autoasientos,A pasear,Evenflo,"",1,1566.00,BAJO STOCK
AUTP019,Autoasientos,A pasear,Britax,"",1,2154.60,BAJO STOCK
AUTP021,Autoasientos,A pasear,Chicco,"",1,2538.00,BAJO STOCK
AUTP022,Autoasientos,A pasear,Cybex,"",1,4854.60,BAJO STOCK
AUTP023,Autoasientos,A pasear,Britax,"",1,3132.00,BAJO STOCK
AYDP001,Almohadas y donas,A dormir,Dona,"",1,217.80,BAJO STOCK
AYDP002,Almohadas y donas,A dormir,Dona,"",1,431.20,BAJO STOCK
AYDP003,Almohadas y donas,A dormir,Almohada,"",1,275.00,BAJO STOCK
AYDP004,Almohadas y donas,A dormir,General,"",1,104.50,BAJO STOCK
AYDP005,Almohadas y donas,A dormir,Chicco,"",1,385.00,BAJO STOCK
AYDP006,Almohadas y donas,A dormir,Boppy,"",1,385.00,BAJO STOCK
AYDP007,Almohadas y donas,A dormir,Nido,"",1,495.00,BAJO STOCK
AYDP008,Almohadas y donas,A dormir,Bompy,"",1,319.00,BAJO STOCK
AYDP009,Almohadas y donas,A dormir,Holo,"",1,874.50,BAJO STOCK
AYDP010,Almohadas y donas,A dormir,Chicco,"",1,434.50,BAJO STOCK
AYDP011,Almohadas y donas,A dormir,Mon,"",1,324.50,BAJO STOCK
AYDP012,Almohadas y donas,A dormir,Babymoon,"",1,214.50,BAJO STOCK
BPCP001,Barandal para cama,A dormir,North States,180 cm,1,105.00,BAJO STOCK
BRIP002,Brincolines,En Casa,Fisher,"",1,1701.00,BAJO STOCK
BRIP003,Brincolines,En Casa,Fisher,"",1,1701.00,BAJO STOCK
