codigo_producto,subcategoria,categoria,marca,modelo,cantidad_bodega,condicion,precio_online,precio_sugerido_original,peso_kg,num_fotos,ubicacion,modalidad,fecha_valuacion,fecha_publicacion,notas,estado
ADAP001,Accesorios de alimentación,A comer,Pigeon,Red papillas,1,Excelente,250.00,225.00,2.00,1,Polanco,compra directa,16/08/2025,16/08/2025,"",BAJO STOCK
CDBP001,Calentador de biberones,A comer,Evenflo,"",1,bueno,594.00,594.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSCDBP4 - Evenflo Calentador Eléctrico,BAJO STOCK
CDBP002,Calentador de biberones,A comer,Tomme,"",1,bueno,539.00,539.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSCDBP7 - Tomme Tippe Eléctrico,BAJO STOCK
CDBP003,Calentador de biberones,A comer,Chicco,"",1,bueno,495.00,495.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSCDBP8 - Chicco Eléctrico,BAJO STOCK
CDBP004,Calentador de biberones,A comer,Tommee,"",1,bueno,434.50,434.50,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSCDBP11 - Tommee Tippee Eléctrico,BAJO STOCK
CDBP005,Calentador de biberones,A comer,Chicco,"",1,bueno,605.00,605.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: CDBP15 - Chicco Eléctrico,BAJO STOCK
CDBP006,Calentador de biberones,A comer,Nevi,"",1,bueno,495.00,495.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: CDBP19 - Nevi Eléctrico,BAJO STOCK
CDBP007,Calentador de biberones,A comer,Evenflo,"",1,bueno,467.50,467.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: CDBP12 - Evenflo Eléctrico,BAJO STOCK
CDBP008,Calentador de biberones,A comer,Tommee,"",1,bueno,495.00,495.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: CDBP23 - Tommee Tippee Eléctrico,BAJO STOCK
CDBP009,Calentador de biberones,A comer,Dr.,"",1,bueno,935.00,935.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: CDBP24 - Dr. Browns Eléctrico,BAJO STOCK
LACP001,Lactancia,A comer,Medela,"",2,bueno,654.50,654.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSLACP9 - Medela Biberón,BAJO STOCK
LACP002,Lactancia,A comer,Tommee,"",1,bueno,429.00,429.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSLACP15 - Tommee Tippee Biberón,BAJO STOCK
LACP003,Lactancia,A comer,Tommee,"",1,bueno,357.50,357.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSLACP16 - Tommee Tippee Bolsas recolectoras,BAJO STOCK
LACP004,Lactancia,A comer,Squezze,"",2,bueno,290.00,290.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSLACP17 - Squezze para bolsas,BAJO STOCK
LACP005,Lactancia,A comer,Medela,"",1,bueno,209.00,209.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSLACP18 - Medela Protector de senos,BAJO STOCK
LACP006,Lactancia,A comer,General,"",1,bueno,1128.60,1128.60,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSLACP19 - General Biberón,BAJO STOCK
LACP007,Lactancia,A comer,Chicco,"",1,bueno,137.50,137.50,0.50,3,Polanco,compra directa,25/09/2025,,SKU: LACP20 - Chicco Biberon,BAJO STOCK
LACP008,Lactancia,A comer,Medela,"",1,bueno,434.50,434.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: LACP21 - Medela Otro,BAJO STOCK
AYDP001,Almohadas y donas,A dormir,Dona,"",1,bueno,217.80,217.80,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSAYDP6 - Dona Amamantar,BAJO STOCK
AYDP002,Almohadas y donas,A dormir,Dona,"",1,bueno,431.20,431.20,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSAYDP9 - Dona Amamantar,BAJO STOCK
AYDP003,Almohadas y donas,A dormir,Almohada,"",1,bueno,275.00,275.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSAYDP21 - Almohada porta biberón,BAJO STOCK
AYDP004,Almohadas y donas,A dormir,General,"",1,bueno,104.50,104.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSAYDP23 - General Para bebé,BAJO STOCK
AYDP005,Almohadas y donas,A dormir,Chicco,"",1,bueno,385.00,385.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSAYDP25 - Chicco Para bebé,BAJO STOCK
AYDP006,Almohadas y donas,A dormir,Boppy,"",1,bueno,385.00,385.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: AYDP27 - Boppy Amamantar,BAJO STOCK
AYDP007,Almohadas y donas,A dormir,Nido,"",1,bueno,495.00,495.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: AYDP29 - Nido Para bebé,BAJO STOCK
AYDP008,Almohadas y donas,A dormir,Bompy,"",1,bueno,319.00,319.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: AYDP26 - Bompy Para bebé,BAJO STOCK
AYDP009,Almohadas y donas,A dormir,Holo,"",1,bueno,874.50,874.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: AYDP31 - Holo Embarazo,BAJO STOCK
AYDP010,Almohadas y donas,A dormir,Chicco,"",1,bueno,434.50,434.50,0.50,3,Polanco,compra directa,25/09/2025,,SKU: AYDP33 - Chicco Amamantar,BAJO STOCK
AYDP011,Almohadas y donas,A dormir,Mon,"",1,bueno,324.50,324.50,0.50,4,Polanco,compra directa,25/09/2025,,SKU: AYDP34 - Mon Caramel  Para bebé,BAJO STOCK
AYDP012,Almohadas y donas,A dormir,Babymoon,"",1,bueno,214.50,214.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: AYDP35 - Babymoon Embarazo,BAJO STOCK
BPCP001,Barandal para cama,A dormir,North States,180 cm,1,Bueno,105.00,90.00,4.00,1,Polanco,compra directa,21/07/2025,15/08/2025,"",BAJO STOCK
CDMP002,Cunas de madera,A dormir,Step2,"",1,bueno,4957.20,4957.20,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSACRP4 - Step2 Otro,BAJO STOCK
CDMP003,Cunas de madera,A dormir,Step2,"",1,bueno,4957.20,4957.20,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSACRP4 - Step2 Otro,BAJO STOCK
CDMP004,Cunas de madera,A dormir,Mon,"",1,bueno,6950.00,6950.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSCDMP11 - Mon Caramel Más de 36 meses,BAJO STOCK
CDMP005,Cunas de madera,A dormir,Pottery,"",1,bueno,15930.00,15930.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSCDMP13 - Pottery Barn Más de 36 meses,BAJO STOCK
CDMP006,Cunas de madera,A dormir,Camita,"",1,bueno,1590.00,1590.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: CDMP21 - Camita Junior,BAJO STOCK
CDMP007,Cunas de madera,A dormir,Grand,"",1,bueno,13500.00,13500.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: CDMP14 - Grand home Más de 36 meses,BAJO STOCK
CDMP008,Cunas de madera,A dormir,Baby&amp;Kids,"",1,bueno,7995.00,7995.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: CDMP24 - Baby&amp;Kids Más de 36 meses,BAJO STOCK
CDMP009,Cunas de madera,A dormir,General,"",1,bueno,2970.00,2970.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: CDMP26 - General Más de 36 meses,BAJO STOCK
CDMP010,Cunas de madera,A dormir,Cuna,"",1,bueno,2495.00,2495.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: CDMP29 - Cuna corral 36 meses,BAJO STOCK
CDMP011,Cunas de madera,A dormir,General,"",1,bueno,4309.20,4309.20,0.50,3,Polanco,compra directa,25/09/2025,,SKU: CDMP28 - General Más de 36 meses,BAJO STOCK
CDMP012,Cunas de madera,A dormir,Babys,"",1,bueno,10495.00,10495.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: CDMP30 - Babys and Kids Más de 36 meses,BAJO STOCK
CDMP013,Cunas de madera,A dormir,Hamaca,"",1,bueno,324.50,324.50,0.50,3,Polanco,compra directa,25/09/2025,,SKU: ACRP31 - Hamaca para cuna Masho,BAJO STOCK
CDMP014,Cunas de madera,A dormir,Babyletto,"",1,bueno,7980.00,7980.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: CDMP32 - Babyletto Más de 36 meses,BAJO STOCK
CDVP001,Cunas de viaje,A dormir,Phil&Teds,"",1,bueno,1825.20,1825.20,0.50,4,Polanco,compra directa,25/09/2025,,SKU: HSCDVP9 - Phil&Teds Corral,BAJO STOCK
CDVP002,Cunas de viaje,A dormir,Evenflo,"",1,bueno,1560.00,1560.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: HSCDVP19 - Evenflo Completa,BAJO STOCK
